"","year","geo","gender","edu","age","age_g","stt","mrg","income","exp1","exp2"
"1",2021,"G1",2,1,74,7,2,3,1718,560,101
"2",2021,"G1",1,3,59,5,1,2,2977,3198,233
"3",2021,"G1",2,3,28,2,1,1,971,1371,93
"4",2021,"G2",1,2,72,7,4,2,3101,1226,109
"5",2021,"G2",1,3,53,5,1,1,3066,2610,929
"6",2021,"G2",2,3,67,6,4,2,2896,1436,482
"7",2021,"G2",1,4,57,5,1,2,12416,5200,3331
"8",2021,"G2",1,1,60,6,3,2,6574,3260,3552
"9",2021,"G1",1,4,51,5,1,2,11106,5030,1112
"10",2021,"G1",1,4,36,3,1,1,4860,4070,407
"11",2021,"G1",2,3,28,2,1,2,8283,2225,2058
"12",2021,"G1",1,4,29,2,1,1,6030,2750,1060
"13",2021,"G1",2,3,66,6,4,3,1059,915,77
"14",2021,"G1",1,4,83,7,3,2,12129,2023,408
"15",2021,"G1",2,3,60,6,1,2,10686,5383,1019
"16",2021,"G1",1,4,36,3,2,1,2191,950,118
"17",2021,"G1",1,4,47,4,1,2,8890,6060,831
"18",2021,"G1",2,4,45,4,4,1,1344,2110,319
"19",2021,"G1",2,3,69,6,4,3,1496,612,78
"20",2021,"G1",1,4,30,3,1,1,10689,3350,1451
"21",2021,"G2",2,1,62,6,4,4,95,1031,17
"22",2021,"G2",1,4,57,5,1,2,4625,1408,466
"23",2021,"G2",1,3,38,3,4,2,2952,1810,583
"24",2021,"G2",2,2,58,5,4,4,793,452,7
"25",2021,"G2",2,1,79,7,4,3,701,731,172
"26",2021,"G2",1,4,53,5,1,2,7565,4720,2566
"27",2021,"G1",1,4,57,5,3,2,6540,3580,806
"28",2021,"G1",1,3,61,6,4,2,3923,2250,258
"29",2021,"G1",2,4,57,5,3,3,7319,3286,584
"30",2021,"G1",1,3,63,6,4,2,2670,2810,284
"31",2021,"G1",1,2,61,6,2,2,4014,2444,213
"32",2021,"G1",1,4,51,5,1,2,13583,5318,4628
"33",2021,"G1",1,4,39,3,1,1,2354,1280,143
"34",2021,"G1",1,3,58,5,1,2,8403,2538,1053
"35",2021,"G1",1,4,65,6,1,2,7245,4764,1657
"36",2021,"G1",1,4,37,3,1,2,26881,5150,9721
"37",2021,"G1",2,3,50,5,4,4,3536,1820,393
"38",2021,"G1",1,1,66,6,2,2,3134,1870,443
"39",2021,"G1",1,4,39,3,1,2,9925,2326,2662
"40",2021,"G2",1,2,70,7,4,2,2170,908,345
"41",2021,"G2",2,2,63,6,3,4,1213,522,56
"42",2021,"G2",2,1,81,7,4,3,765,703,1
"43",2021,"G2",2,3,53,5,1,4,7115,3062,645
"44",2021,"G2",1,1,67,6,1,2,4047,1914,304
"45",2021,"G1",2,3,69,6,1,2,4662,1689,221
"46",2021,"G1",2,1,72,7,4,3,1702,1310,70
"47",2021,"G1",1,4,48,4,3,2,21148,8410,5712
"48",2021,"G1",1,3,47,4,3,2,7121,2438,916
"49",2021,"G1",2,3,49,4,2,4,476,2239,629
"50",2021,"G1",2,4,26,2,1,1,5037,2340,686
"51",2021,"G1",1,4,46,4,1,2,10085,3617,1901
"52",2021,"G2",1,4,38,3,1,2,6370,1979,897
"53",2021,"G2",1,3,46,4,1,2,7159,3852,812
"54",2021,"G1",1,2,76,7,4,2,1884,1245,202
"55",2021,"G2",1,1,59,5,3,2,3303,1435,517
"56",2021,"G2",2,4,70,7,4,1,7998,6270,1188
"57",2021,"G2",1,4,52,5,1,1,6789,1660,881
"58",2021,"G1",1,3,51,5,1,4,570,720,110
