,RB,RMSE,RB,RMSE,RB,RMSE,RB,RMSE,RB,RMSE,RB,RMSE
CC,17.1,0.090,33.9,0.171,48.2,0.242,27.3,0.139,38.8,0.195,48.3,0.242
PPM_0,0.0,0.028,21.4,0.110,38.3,0.193,0.0,0.025,10.7,0.059,20.3,0.104
PPM_1,-18.6,0.098,5.8,0.041,26.4,0.134,-7.6,0.046,2.2,0.027,11.6,0.063
PPM_inf,-57.8,0.294,-29.7,0.156,-0.2,0.042,-17.3,0.091,-9.0,0.053,0.1,0.027
MAR,-0.1,0.034,22.3,0.115,38.4,0.193,-0.1,0.034,11.0,0.061,20.6,0.106
FI_c,-0.2,0.051,0.8,0.044,3.7,0.046,-0.1,0.035,0.1,0.033,1.5,0.036
FI_m,-0.2,0.043,1.6,0.050,4.0,0.048,-4.3,0.073,-3.3,0.051,1.5,0.036
CC1,10.5,0.060,31.2,0.158,46.8,0.235,16.8,0.089,31.4,0.159,42.0,0.212
PPM_01,0.1,0.027,21.5,0.110,38.3,0.193,0.1,0.025,10.8,0.059,20.4,0.104
PPM_11,-9.3,0.054,12.1,0.066,30.2,0.153,-3.6,0.031,6.3,0.040,15.7,0.082
PPM_inf1,-27.2,0.140,-6.7,0.047,14.4,0.078,-8.1,0.048,0.7,0.026,9.9,0.055
1.Mar,0.1,0.027,22.4,0.115,38.4,0.193,0.1,0.026,11.1,0.060,20.7,0.106
FI_c1,-0.3,0.047,0.2,0.047,3.8,0.049,0.0,0.027,-0.3,0.029,0.7,0.028
FI_m1,0.2,0.037,1.1,0.059,4.0,0.049,-2.4,0.055,-2.5,0.042,0.8,0.029
CC2,17.0,0.089,30.9,0.157,40.5,0.204,27.3,0.139,38.2,0.192,46.7,0.234
PPM_02,0.1,0.028,18.4,0.096,29.8,0.152,0.0,0.025,10.1,0.057,18.3,0.095
PPM_12,-18.5,0.097,0.1,0.029,12.8,0.070,-7.5,0.045,0.6,0.025,7.5,0.045
PPM_inf2,-57.8,0.294,-45.4,0.234,-31.7,0.168,-17.3,0.090,-12.2,0.066,-7.3,0.046
2.Mar,-0.1,0.034,19.5,0.102,29.9,0.152,-0.1,0.034,10.5,0.060,18.7,0.097
FI_c2,1.2,0.090,-4.3,0.041,-2.6,0.032,-0.1,0.035,-0.5,0.031,-0.2,0.033
FI_m2,-0.7,0.041,-2.6,0.049,-1.5,0.042,-2.1,0.046,-1.5,0.035,-0.2,0.033
CC3,17.0,0.090,30.2,0.153,43.6,0.219,27.3,0.139,37.1,0.187,46.1,0.232
PPM_03,0.0,0.025,16.4,0.085,32.9,0.166,0.0,0.024,8.2,0.047,17.3,0.089
PPM_13,-18.9,0.099,0.6,0.026,22.7,0.116,-8.1,0.047,-0.7,0.025,8.6,0.050
PPM_inf3,-59.4,0.302,-33.7,0.175,2.6,0.040,-18.5,0.097,-12.5,0.068,-2.6,0.030
3.Mar,-0.2,0.033,17.8,0.093,33.4,0.168,-0.1,0.034,8.8,0.052,18.0,0.094
FI_c3,-0.1,0.056,-3.8,0.049,2.3,0.044,-0.1,0.034,-0.6,0.033,1.5,0.035
FI_m3,-0.3,0.045,-2.6,0.050,3.1,0.050,-1.9,0.052,-2.8,0.063,1.6,0.036
