,RB,RMSE,RB,RMSE,RB,RMSE,RB,RMSE,RB,RMSE,RB,RMSE
CC,17.1,0.090,33.9,0.171,48.2,0.242,27.3,0.139,38.8,0.195,48.3,0.242
PPM_0,0.0,0.028,21.4,0.110,38.3,0.193,0.0,0.025,10.7,0.059,20.3,0.104
PPM_1,-18.6,0.098,5.8,0.041,26.4,0.134,-7.6,0.046,2.2,0.027,11.6,0.063
PPM_inf,-57.8,0.294,-29.7,0.156,-0.2,0.042,-17.3,0.091,-9.0,0.053,0.1,0.027
MAR,-0.1,0.034,22.3,0.115,38.4,0.193,-0.1,0.034,11.0,0.061,20.6,0.106
FI_c,-0.2,0.051,-0.2,0.046,1.7,0.047,-0.1,0.035,0.0,0.033,1.0,0.037
FI_m,-0.1,0.044,0.6,0.050,2.3,0.049,-0.1,0.035,-0.3,0.035,1.1,0.037
CC1,22.3,0.115,45.5,0.229,62.8,0.314,35.7,0.180,51.5,0.258,62.9,0.315
PPM_01,0.1,0.029,32.2,0.163,51.7,0.259,0.0,0.026,16.5,0.086,29.4,0.148
PPM_11,-25.7,0.134,12.2,0.068,36.4,0.184,-10.6,0.060,4.1,0.033,17.0,0.088
PPM_inf1,-81.9,0.416,-38.7,0.204,-0.2,0.045,-24.5,0.126,-12.8,0.071,0.1,0.029
1.Mar,1.8,0.043,34.2,0.173,52.0,0.261,2.8,0.046,19.3,0.102,31.5,0.159
FI_c1,1.1,0.081,-2.7,0.074,5.5,0.088,2.5,0.047,2.8,0.049,9.9,0.072
FI_m1,1.5,0.070,4.5,0.088,27.7,0.182,2.5,0.046,2.8,0.049,10.3,0.075
CC2,20.0,0.104,39.6,0.199,56.6,0.283,32.1,0.162,45.4,0.228,56.6,0.283
PPM_02,0.0,0.029,27.1,0.138,46.1,0.231,0.0,0.026,13.9,0.073,25.7,0.130
PPM_12,-22.9,0.120,9.2,0.054,32.2,0.163,-9.4,0.054,3.2,0.030,14.9,0.078
PPM_inf2,-72.2,0.367,-34.5,0.182,-0.4,0.044,-21.6,0.112,-11.1,0.063,0.2,0.029
2.Mar,5.0,0.040,29.9,0.152,46.5,0.234,8.0,0.050,19.9,0.103,29.4,0.149
FI_c2,4.9,0.057,2.4,0.048,9.5,0.061,7.9,0.050,8.2,0.050,13.4,0.072
FI_m2,5.0,0.050,4.6,0.059,22.8,0.143,7.9,0.050,8.2,0.050,13.4,0.072
CC3,21.6,0.112,44.8,0.225,60.9,0.305,34.6,0.175,50.5,0.253,61.1,0.306
PPM_03,0.0,0.030,30.6,0.155,49.6,0.249,0.0,0.027,15.4,0.081,27.5,0.139
PPM_13,-24.5,0.128,10.3,0.060,34.8,0.176,-10.1,0.057,3.5,0.031,15.8,0.082
PPM_inf3,-77.2,0.392,-39.3,0.206,0.2,0.044,-23.1,0.119,-12.3,0.068,0.0,0.028
3.Mar,-7.6,0.087,29.2,0.149,49.6,0.249,-12.2,0.111,7.7,0.070,24.9,0.129
FI_c3,-6.5,0.110,-7.9,0.099,-3.0,0.095,-11.9,0.113,-13.6,0.121,-9.3,0.120
FI_m3,-7.0,0.099,-6.1,0.092,-0.2,0.089,-12.0,0.111,-13.6,0.121,-9.2,0.119
